"periodo";"nivel_general_aperturas";"indice_icc"
"2022-01-01";"jgrch_ccjcnyh";100
"2022-01-01";"iypcngwjaq";100
"2022-01-01";"iyjm_ba_kzny";100
"2022-01-01";"cyorkq_ealapwjaq";100
"2022-02-01";"jgrch_ccjcnyh";103.809635871582
"2022-02-01";"iypcngwjaq";103.461973487762
"2022-02-01";"iyjm_ba_kzny";104.20903483914
"2022-02-01";"cyorkq_ealapwjaq";103.622082838899
"2022-03-01";"jgrch_ccjcnyh";108.957034113846
"2022-03-01";"iypcngwjaq";107.610731574899
"2022-03-01";"iyjm_ba_kzny";110.388768498453
"2022-03-01";"cyorkq_ealapwjaq";108.74966701378
"2022-04-01";"jgrch_ccjcnyh";111.477783912457
"2022-04-01";"iypcngwjaq";112.466181061394
"2022-04-01";"iyjm_ba_kzny";110.436924672631
"2022-04-01";"cyorkq_ealapwjaq";111.575811880948
"2022-05-01";"jgrch_ccjcnyh";118.877112315922
"2022-05-01";"iypcngwjaq";117.432927656879
"2022-05-01";"iyjm_ba_kzny";120.535830045748
"2022-05-01";"cyorkq_ealapwjaq";118.083775296862
"2022-06-01";"jgrch_ccjcnyh";126.709991582415
"2022-06-01";"iypcngwjaq";123.566031760395
"2022-06-01";"iyjm_ba_kzny";130.22540793836
"2022-06-01";"cyorkq_ealapwjaq";125.428845889941
"2022-07-01";"jgrch_ccjcnyh";135.483287021533
"2022-07-01";"iypcngwjaq";138.761254128399
"2022-07-01";"iyjm_ba_kzny";132.822137022837
"2022-07-01";"cyorkq_ealapwjaq";132.072425511992
"2022-08-01";"jgrch_ccjcnyh";145.610636930569
"2022-08-01";"iypcngwjaq";151.118852644437
"2022-08-01";"iyjm_ba_kzny";141.251319664389
"2022-08-01";"cyorkq_ealapwjaq";139.344844566069
"2022-09-01";"jgrch_ccjcnyh";156.442167573292
"2022-09-01";"iypcngwjaq";160.064244672669
"2022-09-01";"iyjm_ba_kzny";154.302568946676
"2022-09-01";"cyorkq_ealapwjaq";148.885606115645
"2022-10-01";"jgrch_ccjcnyh";167.839396106188
"2022-10-01";"iypcngwjaq";169.532642627698
"2022-10-01";"iyjm_ba_kzny";167.86131021837
"2022-10-01";"cyorkq_ealapwjaq";159.475778784136
"2022-11-01";"jgrch_ccjcnyh";179.137061810414
"2022-11-01";"iypcngwjaq";178.974799800932
"2022-11-01";"iyjm_ba_kzny";181.374673556704
"2022-11-01";"cyorkq_ealapwjaq";169.341857780576
"2022-12-01";"jgrch_ccjcnyh";186.865852665116
"2022-12-01";"iypcngwjaq";187.784463647469
"2022-12-01";"iyjm_ba_kzny";187.849826822989
"2022-12-01";"cyorkq_ealapwjaq";177.732303295958
"2023-01-01";"jgrch_ccjcnyh";199.350126263769
"2023-01-01";"iypcngwjaq";198.348640456047
"2023-01-01";"iyjm_ba_kzny";202.358726454409
"2023-01-01";"cyorkq_ealapwjaq";190.004762712001
"2023-02-01";"jgrch_ccjcnyh";211.370075034168
"2023-02-01";"iypcngwjaq";208.554494864951
"2023-02-01";"iyjm_ba_kzny";216.65740586394
"2023-02-01";"cyorkq_ealapwjaq";200.099290436636
"2023-03-01";"jgrch_ccjcnyh";221.3145913851
"2023-03-01";"iypcngwjaq";220.121250508981
"2023-03-01";"iyjm_ba_kzny";225.344964901558
"2023-03-01";"cyorkq_ealapwjaq";208.070778743774
"2023-04-01";"jgrch_ccjcnyh";239.206936813809
"2023-04-01";"iypcngwjaq";235.713704022078
"2023-04-01";"iyjm_ba_kzny";244.529643829527
"2023-04-01";"cyorkq_ealapwjaq";231.084364581567
"2023-05-01";"jgrch_ccjcnyh";257.819755075442
"2023-05-01";"iypcngwjaq";254.068678459938
"2023-05-01";"iyjm_ba_kzny";263.881943286844
"2023-05-01";"cyorkq_ealapwjaq";247.459214233244
"2023-06-01";"jgrch_ccjcnyh";272.845596155065
